,Affected Voxels,Percent (%)
Parietal Opercular Cortex,3603.0,40.247989276139414
Planum Temporale,2370.0,31.118697478991596
"Cingulate Gyrus, posterior division",5760.0,29.850746268656714
Heschl's Gyrus (includes H1 and H2),1330.0,27.524834437086092
Central Opercular Cortex,3891.0,25.788706256627787
"Supramarginal Gyrus, anterior division",2596.0,18.62801377726751
Postcentral Gyrus,6339.0,11.492023205221175
Precentral Gyrus,7822.0,11.40499241805669
"Inferior Frontal Gyrus, pars opercularis",1220.0,11.01878612716763
"Cingulate Gyrus, anterior division",1968.0,9.49074074074074
"Supramarginal Gyrus, posterior division",1333.0,7.376051350154936
Middle Frontal Gyrus,2040.0,4.796839729119639
Insular Cortex,702.0,3.7483981204613417
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),355.0,2.9902291105121295
Angular Gyrus,533.0,2.765670402656704
Superior Parietal Lobule,571.0,2.4544360385144426
Planum Polare,88.0,1.4686248331108143
Precuneous Cortex,378.0,0.8402987728970299
Frontal Opercular Cortex,35.0,0.6368267831149927
"Middle Temporal Gyrus, temporooccipital part",47.0,0.2931636726546906
"Superior Temporal Gyrus, posterior division",34.0,0.23224043715846993
Paracingulate Gyrus,34.0,0.14436141304347824
Superior Frontal Gyrus,47.0,0.1156496062992126
